Charging_data_SOC,Charging_data_U,Discharging_data_SOC,Discharging_data_U
100,3.535179,100,3.405527
99.00006,3.373379,99.00006,3.336627
98.000471,3.365414,98.000471,3.334479
97.000179,3.362486,97.000179,3.333722
96.000239,3.360906,96.000239,3.333187
95.000651,3.359856,95.000651,3.332715
94.000359,3.359034,94.000359,3.332254
93.000419,3.358351,93.000419,3.331803
92.000127,3.357748,92.000127,3.33137
91.000538,3.357207,91.000538,3.33094
90.000598,3.356701,90.000598,3.330529
89.000306,3.356225,89.000306,3.330137
88.000014,3.355766,88.000014,3.329761
87.000777,3.355328,87.000777,3.329409
86.000485,3.354916,86.000485,3.329075
85.000193,3.354507,85.000193,3.328757
84.000957,3.35411,84.000957,3.32845
83.000665,3.353735,83.000665,3.32815
82.000373,3.353373,82.000373,3.32786
81.000081,3.353025,81.000081,3.327564
80.000844,3.352675,80.000844,3.327253
79.000552,3.352345,79.000552,3.326945
78.00026,3.352018,78.00026,3.326618
77.001024,3.351699,77.001024,3.326274
76.000028,3.351369,76.000028,3.325904
75.00044,3.35104,75.00044,3.325503
74.000148,3.350729,74.000148,3.325061
73.000208,3.350399,73.000208,3.324555
72.000619,3.350079,72.000619,3.323976
71.000327,3.349738,71.000327,3.323269
70.000035,3.349369,70.000035,3.322359
69.000095,3.348922,69.000095,3.321118
68.000506,3.348296,68.000506,3.319277
67.000215,3.347304,67.000215,3.31642
66.000274,3.345606,66.000274,3.312128
65.000686,3.342865,65.000686,3.306945
64.000394,3.338821,64.000394,3.302422
63.000454,3.333797,63.000454,3.298866
62.000162,3.329318,62.000162,3.29619
61.000573,3.326021,61.000573,3.29429
60.000633,3.323648,60.000633,3.292901
59.000341,3.321898,59.000341,3.291849
58.000049,3.320559,58.000049,3.291019
57.000812,3.319467,57.000812,3.290324
56.000521,3.318566,56.000521,3.289742
55.000229,3.31779,55.000229,3.289224
54.00064,3.317111,54.00064,3.288771
53.0007,3.316498,53.0007,3.288354
52.000408,3.315939,52.000408,3.287977
51.000116,3.315422,51.000116,3.287613
50.000879,3.314938,50.000879,3.28727
49.000587,3.314476,49.000587,3.286933
48.000295,3.314027,48.000295,3.286595
47.000004,3.313599,47.000004,3.286267
46.000767,3.313173,46.000767,3.285929
45.000475,3.312762,45.000475,3.285586
44.000183,3.31234,44.000183,3.285227
43.000946,3.311935,43.000946,3.284865
42.000654,3.311522,42.000654,3.284477
41.000362,3.31111,41.000362,3.284065
40.00007,3.310696,40.00007,3.283614
39.00013,3.310285,39.00013,3.283125
38.000542,3.309849,38.000542,3.282568
37.00025,3.309386,37.00025,3.281918
36.00031,3.308886,36.00031,3.281122
35.000018,3.308322,35.000018,3.280108
34.000429,3.30765,34.000429,3.27875
33.000489,3.306837,33.000489,3.276957
32.000197,3.305944,32.000197,3.274948
31.000608,3.304993,31.000608,3.272884
30.000668,3.303815,30.000668,3.270623
29.000376,3.302134,29.000376,3.268016
28.000084,3.299886,28.000084,3.26502
27.000848,3.297543,27.000848,3.261888
26.000556,3.295291,26.000556,3.258964
25.000264,3.292591,25.000264,3.256181
24.001027,3.288845,24.001027,3.253187
23.000032,3.284689,23.000032,3.249972
22.000443,3.280526,22.000443,3.246472
21.000151,3.276543,21.000151,3.242565
20.000211,3.272418,20.000211,3.238081
19.000623,3.26743,19.000623,3.232954
18.000331,3.261965,18.000331,3.227882
17.00039,3.256178,17.00039,3.222998
16.000098,3.250189,16.000098,3.217794
15.00051,3.243772,15.00051,3.211579
14.00057,3.237175,14.00057,3.204329
13.000278,3.23205,13.000278,3.199794
12.000689,3.228428,12.000689,3.197436
11.000749,3.225693,11.000749,3.195585
10.000457,3.223503,10.000457,3.193823
9.000165,3.221611,9.000165,3.191853
8.000577,3.219711,8.000577,3.189195
7.000637,3.216507,7.000637,3.184108
6.000345,3.200823,6.000345,3.166005
5.000053,3.167971,5.000053,3.130758
4.000816,3.126315,4.000816,3.086356
3.000524,3.073772,3.000524,3.03014
2.000232,3.00464,2.000232,2.955497
1.000995,2.903887,1.000995,2.843838
0,2.681924,0,2.56064